"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","208",".debug() - enable or disable debugging","Cypress APIs","Wed Nov 05 19:52:35 UTC 2025","passed","Wed Nov 05 19:52:35 UTC 2025","","Cypress.Cookies","",""
"","363","cy.reload() - reload the page","Navigation","Wed Nov 05 19:52:55 UTC 2025","passed","Wed Nov 05 19:52:56 UTC 2025","","","",""
"","629","cy.intercept() - route responses to matching requests","Network Requests","Wed Nov 05 19:53:02 UTC 2025","passed","Wed Nov 05 19:53:03 UTC 2025","","","",""
"","2120","cy.scrollTo() - scroll the window or element to a position","Actions","Wed Nov 05 19:52:01 UTC 2025","passed","Wed Nov 05 19:52:03 UTC 2025","","","",""
"","640","cy.request() - save response in the shared test context","Network Requests","Wed Nov 05 19:53:01 UTC 2025","passed","Wed Nov 05 19:53:02 UTC 2025","","","",""
"","87",".prev() - get previous sibling DOM element","Traversal","Wed Nov 05 19:53:26 UTC 2025","passed","Wed Nov 05 19:53:26 UTC 2025","","","",""
"","215",".children() - get child DOM elements","Traversal","Wed Nov 05 19:53:24 UTC 2025","passed","Wed Nov 05 19:53:24 UTC 2025","","","",""
"","89","Get environment variables","Cypress APIs","Wed Nov 05 19:52:36 UTC 2025","passed","Wed Nov 05 19:52:36 UTC 2025","","Cypress.env()","",""
"","182","cy.clock() - control time in the browser","Spies, Stubs, and Clock","Wed Nov 05 19:53:15 UTC 2025","passed","Wed Nov 05 19:53:15 UTC 2025","","","",""
"","115","cy.setCookie() - set a browser cookie","Cookies","Wed Nov 05 19:52:19 UTC 2025","passed","Wed Nov 05 19:52:19 UTC 2025","","","",""
"","172","cy.clearCookies() - clear browser cookies for the current domain","Cookies","Wed Nov 05 19:52:19 UTC 2025","passed","Wed Nov 05 19:52:20 UTC 2025","","","",""
"","110","cy.readFile() - read file contents","Files","Wed Nov 05 19:52:41 UTC 2025","passed","Wed Nov 05 19:52:41 UTC 2025","","","",""
"","515","can add new todo items","example to-do app","Wed Nov 05 19:52:24 UTC 2025","passed","Wed Nov 05 19:52:25 UTC 2025","","","",""
"","239","cy.get() - query DOM elements","Querying","Wed Nov 05 19:53:07 UTC 2025","passed","Wed Nov 05 19:53:07 UTC 2025","","","",""
"","86",".filter() - get DOM elements that match the selector","Traversal","Wed Nov 05 19:53:25 UTC 2025","passed","Wed Nov 05 19:53:25 UTC 2025","","","",""
"","89",".parents() - get parent DOM elements from DOM elements","Traversal","Wed Nov 05 19:53:26 UTC 2025","passed","Wed Nov 05 19:53:26 UTC 2025","","","",""
"","176","cy.clearCookie() - clear a browser cookie","Cookies","Wed Nov 05 19:52:19 UTC 2025","passed","Wed Nov 05 19:52:19 UTC 2025","","","",""
"","82","can throw any error","Assertions","Wed Nov 05 19:52:13 UTC 2025","passed","Wed Nov 05 19:52:13 UTC 2025","","Explicit Assertions","",""
"","197","Cypress.$ - call a jQuery method","Utilities","Wed Nov 05 19:53:31 UTC 2025","passed","Wed Nov 05 19:53:31 UTC 2025","","","",""
"","101","Get and set configuration options","Cypress APIs","Wed Nov 05 19:52:35 UTC 2025","passed","Wed Nov 05 19:52:36 UTC 2025","","Cypress.config()","",""
"","74","Get current version of Cypress being run","Cypress APIs","Wed Nov 05 19:52:36 UTC 2025","passed","Wed Nov 05 19:52:36 UTC 2025","","Cypress.version","",""
"","212",".add() - create a custom command","Cypress APIs","Wed Nov 05 19:52:35 UTC 2025","passed","Wed Nov 05 19:52:35 UTC 2025","","Cypress.Commands","",""
"","86",".not() - remove DOM elements from set of DOM elements","Traversal","Wed Nov 05 19:53:26 UTC 2025","passed","Wed Nov 05 19:53:26 UTC 2025","","","",""
"","82","yields the value yielded by the last Cypress command inside","Connectors","Wed Nov 05 19:52:31 UTC 2025","passed","Wed Nov 05 19:52:31 UTC 2025","",".then()","",""
"","478","cy.request() - pass result to the second request","Network Requests","Wed Nov 05 19:53:01 UTC 2025","passed","Wed Nov 05 19:53:01 UTC 2025","","","",""
"","21","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","Wed Nov 05 19:53:15 UTC 2025","passed","Wed Nov 05 19:53:15 UTC 2025","","","",""
"","129",".trigger() - trigger an event on a DOM element","Actions","Wed Nov 05 19:52:01 UTC 2025","passed","Wed Nov 05 19:52:01 UTC 2025","","","",""
"","320","cy.visit() - visit a remote url","Navigation","Wed Nov 05 19:52:56 UTC 2025","passed","Wed Nov 05 19:52:56 UTC 2025","","","",""
"","100",".find() - get descendant DOM elements of the selector","Traversal","Wed Nov 05 19:53:25 UTC 2025","passed","Wed Nov 05 19:53:25 UTC 2025","","","",""
"","206",".its() - get properties on the current subject","Connectors","Wed Nov 05 19:52:30 UTC 2025","passed","Wed Nov 05 19:52:30 UTC 2025","","","",""
"","182","cy.window() - get the global window object","Window","Wed Nov 05 19:53:52 UTC 2025","passed","Wed Nov 05 19:53:52 UTC 2025","","","",""
"","2767","cy.viewport() - set the viewport size and dimension","Viewport","Wed Nov 05 19:53:36 UTC 2025","passed","Wed Nov 05 19:53:39 UTC 2025","","","",""
"","450","cy.request() - make an XHR request","Network Requests","Wed Nov 05 19:53:00 UTC 2025","passed","Wed Nov 05 19:53:00 UTC 2025","","","",""
"","452","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","Wed Nov 05 19:53:19 UTC 2025","passed","Wed Nov 05 19:53:20 UTC 2025","","","",""
"","84",".last() - get last DOM element","Traversal","Wed Nov 05 19:53:25 UTC 2025","passed","Wed Nov 05 19:53:25 UTC 2025","","","",""
"","184","can check off an item as completed","example to-do app","Wed Nov 05 19:52:25 UTC 2025","passed","Wed Nov 05 19:52:25 UTC 2025","","","",""
"","275","can delete all completed tasks","example to-do app","Wed Nov 05 19:52:26 UTC 2025","passed","Wed Nov 05 19:52:26 UTC 2025","","with a checked task","",""
"","82","Get current spec information","Cypress APIs","Wed Nov 05 19:52:36 UTC 2025","passed","Wed Nov 05 19:52:36 UTC 2025","","Cypress.spec","",""
"","268","cy.focused() - get the DOM element that has focus","Misc","Wed Nov 05 19:52:49 UTC 2025","passed","Wed Nov 05 19:52:50 UTC 2025","","","",""
"","88","invokes a callback function with the current subject","Connectors","Wed Nov 05 19:52:31 UTC 2025","passed","Wed Nov 05 19:52:31 UTC 2025","",".then()","",""
"","246",".and() - chain multiple assertions together","Assertions","Wed Nov 05 19:52:12 UTC 2025","passed","Wed Nov 05 19:52:12 UTC 2025","","Implicit Assertions","",""
"","84","yields the original subject without return","Connectors","Wed Nov 05 19:52:31 UTC 2025","passed","Wed Nov 05 19:52:31 UTC 2025","",".then()","",""
"","595","best practices - selecting elements","Querying","Wed Nov 05 19:53:07 UTC 2025","passed","Wed Nov 05 19:53:08 UTC 2025","","","",""
"","306","cy.getCookies() - get browser cookies for the current domain","Cookies","Wed Nov 05 19:52:19 UTC 2025","passed","Wed Nov 05 19:52:19 UTC 2025","","","",""
"","865",".select() - select an option in a <select> element","Actions","Wed Nov 05 19:52:00 UTC 2025","passed","Wed Nov 05 19:52:01 UTC 2025","","","",""
"","90",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","Wed Nov 05 19:53:26 UTC 2025","passed","Wed Nov 05 19:53:26 UTC 2025","","","",""
"","235","cy.tick() - move time in the browser","Spies, Stubs, and Clock","Wed Nov 05 19:53:15 UTC 2025","passed","Wed Nov 05 19:53:15 UTC 2025","","","",""
"","91","yields the returned value to the next command","Connectors","Wed Nov 05 19:52:31 UTC 2025","passed","Wed Nov 05 19:52:31 UTC 2025","",".then()","",""
"","472",".clear() - clears an input or textarea element","Actions","Wed Nov 05 19:51:55 UTC 2025","passed","Wed Nov 05 19:51:55 UTC 2025","","","",""
"","184",".rightclick() - right click on a DOM element","Actions","Wed Nov 05 19:51:58 UTC 2025","passed","Wed Nov 05 19:51:58 UTC 2025","","","",""
"","76","cy.title() - get the title","Window","Wed Nov 05 19:53:52 UTC 2025","passed","Wed Nov 05 19:53:52 UTC 2025","","","",""
"","87",".next() - get next sibling DOM element","Traversal","Wed Nov 05 19:53:25 UTC 2025","passed","Wed Nov 05 19:53:25 UTC 2025","","","",""
"","238","Cypress.Blob - blob utilities and base64 string conversion","Utilities","Wed Nov 05 19:53:31 UTC 2025","passed","Wed Nov 05 19:53:31 UTC 2025","","","",""
"","93",".invoke() - invoke a function on the current subject","Connectors","Wed Nov 05 19:52:30 UTC 2025","passed","Wed Nov 05 19:52:31 UTC 2025","","","",""
"","92","matches unknown text between two elements","Assertions","Wed Nov 05 19:52:13 UTC 2025","passed","Wed Nov 05 19:52:13 UTC 2025","","Explicit Assertions","",""
"","87",".siblings() - get all sibling DOM elements","Traversal","Wed Nov 05 19:53:26 UTC 2025","passed","Wed Nov 05 19:53:26 UTC 2025","","","",""
"","269","can filter for uncompleted tasks","example to-do app","Wed Nov 05 19:52:25 UTC 2025","passed","Wed Nov 05 19:52:25 UTC 2025","","with a checked task","",""
"","82",".spread() - spread an array as individual args to callback function","Connectors","Wed Nov 05 19:52:31 UTC 2025","passed","Wed Nov 05 19:52:31 UTC 2025","","","",""
"","91",".eq() - get a DOM element at a specific index","Traversal","Wed Nov 05 19:53:25 UTC 2025","passed","Wed Nov 05 19:53:25 UTC 2025","","","",""
"","85",".parent() - get parent DOM element from DOM elements","Traversal","Wed Nov 05 19:53:26 UTC 2025","passed","Wed Nov 05 19:53:26 UTC 2025","","","",""
"","118","cy.clearAllCookies() - clear all browser cookies","Cookies","Wed Nov 05 19:52:20 UTC 2025","passed","Wed Nov 05 19:52:20 UTC 2025","","","",""
"","413","displays two todo items by default","example to-do app","Wed Nov 05 19:52:24 UTC 2025","passed","Wed Nov 05 19:52:24 UTC 2025","","","",""
"","781","cy.screenshot() - take a screenshot","Misc","Wed Nov 05 19:52:50 UTC 2025","passed","Wed Nov 05 19:52:51 UTC 2025","","Cypress.Screenshot","",""
"","78","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","Wed Nov 05 19:52:51 UTC 2025","passed","Wed Nov 05 19:52:51 UTC 2025","","Cypress.Screenshot","",""
"","206","cy.fixture() or require - load a fixture","Files","Wed Nov 05 19:52:40 UTC 2025","passed","Wed Nov 05 19:52:40 UTC 2025","","","",""
"","76","Get underlying OS name","Cypress APIs","Wed Nov 05 19:52:36 UTC 2025","passed","Wed Nov 05 19:52:36 UTC 2025","","Cypress.platform","",""
"","89","cy.root() - query the root DOM element","Querying","Wed Nov 05 19:53:07 UTC 2025","passed","Wed Nov 05 19:53:07 UTC 2025","","","",""
"","374",".blur() - blur off a DOM element","Actions","Wed Nov 05 19:51:54 UTC 2025","passed","Wed Nov 05 19:51:55 UTC 2025","","","",""
"","86","assert - assert shape of an object","Assertions","Wed Nov 05 19:52:13 UTC 2025","passed","Wed Nov 05 19:52:13 UTC 2025","","Explicit Assertions","",""
"","84","cy.wrap() - wrap an object","Misc","Wed Nov 05 19:52:50 UTC 2025","passed","Wed Nov 05 19:52:50 UTC 2025","","","",""
"","81","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","Wed Nov 05 19:53:15 UTC 2025","passed","Wed Nov 05 19:53:15 UTC 2025","","","",""
"","190",".each() - iterate over an array of elements","Connectors","Wed Nov 05 19:52:30 UTC 2025","passed","Wed Nov 05 19:52:30 UTC 2025","","","",""
"","86","cy.document() - get the document object","Window","Wed Nov 05 19:53:52 UTC 2025","passed","Wed Nov 05 19:53:52 UTC 2025","","","",""
"","4409","cy.wait() - wait for a specific amount of time","Waiting","Wed Nov 05 19:53:43 UTC 2025","passed","Wed Nov 05 19:53:47 UTC 2025","","","",""
"","262","can filter for completed tasks","example to-do app","Wed Nov 05 19:52:25 UTC 2025","passed","Wed Nov 05 19:52:26 UTC 2025","","with a checked task","",""
"","342","cy.fixture() - load a fixture","Files","Wed Nov 05 19:52:40 UTC 2025","passed","Wed Nov 05 19:52:40 UTC 2025","","","",""
"","1995",".click() - click on a DOM element","Actions","Wed Nov 05 19:51:56 UTC 2025","passed","Wed Nov 05 19:51:58 UTC 2025","","","",""
"","97","finds element by class name regex","Assertions","Wed Nov 05 19:52:13 UTC 2025","passed","Wed Nov 05 19:52:13 UTC 2025","","Explicit Assertions","",""
"","202","cy.location() - get window.location","Location","Wed Nov 05 19:52:45 UTC 2025","passed","Wed Nov 05 19:52:45 UTC 2025","","","",""
"","79","cy.url() - get the current URL","Location","Wed Nov 05 19:52:45 UTC 2025","passed","Wed Nov 05 19:52:45 UTC 2025","","","",""
"","339","Cypress._ - call a lodash method","Utilities","Wed Nov 05 19:53:30 UTC 2025","passed","Wed Nov 05 19:53:31 UTC 2025","","","",""
"","211","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","Wed Nov 05 19:53:12 UTC 2025","passed","Wed Nov 05 19:53:12 UTC 2025","","","",""
"","24","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","Wed Nov 05 19:53:15 UTC 2025","passed","Wed Nov 05 19:53:15 UTC 2025","","","",""
"","95",".prevAll() - get all previous sibling DOM elements","Traversal","Wed Nov 05 19:53:26 UTC 2025","passed","Wed Nov 05 19:53:26 UTC 2025","","","",""
"","231","cy.contains() - query DOM elements with matching content","Querying","Wed Nov 05 19:53:07 UTC 2025","passed","Wed Nov 05 19:53:07 UTC 2025","","","",""
"","87",".first() - get first DOM element","Traversal","Wed Nov 05 19:53:25 UTC 2025","passed","Wed Nov 05 19:53:25 UTC 2025","","","",""
"","764",".check() - check a checkbox or radio element","Actions","Wed Nov 05 19:51:58 UTC 2025","passed","Wed Nov 05 19:51:59 UTC 2025","","","",""
"","146",".focus() - focus on a DOM element","Actions","Wed Nov 05 19:51:54 UTC 2025","passed","Wed Nov 05 19:51:54 UTC 2025","","","",""
"","411","cy.request() - verify response using BDD syntax","Network Requests","Wed Nov 05 19:53:00 UTC 2025","passed","Wed Nov 05 19:53:01 UTC 2025","","","",""
"","79",".isHidden() - determine if a DOM element is hidden","Cypress APIs","Wed Nov 05 19:52:36 UTC 2025","passed","Wed Nov 05 19:52:36 UTC 2025","","Cypress.dom","",""
"","121","cy.getAllCookies() - get all browser cookies","Cookies","Wed Nov 05 19:52:19 UTC 2025","passed","Wed Nov 05 19:52:19 UTC 2025","","","",""
"","159","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","Wed Nov 05 19:53:20 UTC 2025","passed","Wed Nov 05 19:53:20 UTC 2025","","","",""
"","261",".should() - make an assertion about the current subject","Assertions","Wed Nov 05 19:52:12 UTC 2025","passed","Wed Nov 05 19:52:12 UTC 2025","","Implicit Assertions","",""
"","573",".as() - alias a route for later use","Aliasing","Wed Nov 05 19:52:07 UTC 2025","passed","Wed Nov 05 19:52:08 UTC 2025","","","",""
"","757",".uncheck() - uncheck a checkbox element","Actions","Wed Nov 05 19:51:59 UTC 2025","passed","Wed Nov 05 19:52:00 UTC 2025","","","",""
"","691","cy.exec() - execute a system command","Misc","Wed Nov 05 19:52:49 UTC 2025","passed","Wed Nov 05 19:52:49 UTC 2025","","","",""
"","947","cy.go() - go back or forward in the browser's history","Navigation","Wed Nov 05 19:52:54 UTC 2025","passed","Wed Nov 05 19:52:55 UTC 2025","","","",""
"","102",".closest() - get closest ancestor DOM element","Traversal","Wed Nov 05 19:53:24 UTC 2025","passed","Wed Nov 05 19:53:25 UTC 2025","","","",""
"","440",".submit() - submit a form","Actions","Wed Nov 05 19:51:55 UTC 2025","passed","Wed Nov 05 19:51:56 UTC 2025","","","",""
"","1080","Cypress.Promise - instantiate a bluebird promise","Utilities","Wed Nov 05 19:53:31 UTC 2025","passed","Wed Nov 05 19:53:32 UTC 2025","","","",""
"","2530","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","Wed Nov 05 19:53:12 UTC 2025","passed","Wed Nov 05 19:53:15 UTC 2025","","","",""
"","140",".scrollIntoView() - scroll an element into view","Actions","Wed Nov 05 19:52:01 UTC 2025","passed","Wed Nov 05 19:52:01 UTC 2025","","","",""
"","163","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","Wed Nov 05 19:53:20 UTC 2025","passed","Wed Nov 05 19:53:20 UTC 2025","","","",""
"","3671",".type() - type into a DOM element","Actions","Wed Nov 05 19:51:50 UTC 2025","passed","Wed Nov 05 19:51:54 UTC 2025","","","",""
"","197",".dblclick() - double click on a DOM element","Actions","Wed Nov 05 19:51:58 UTC 2025","passed","Wed Nov 05 19:51:58 UTC 2025","","","",""
"","272","cy.request() with query parameters","Network Requests","Wed Nov 05 19:53:01 UTC 2025","passed","Wed Nov 05 19:53:01 UTC 2025","","","",""
"","230","cy.writeFile() - write to a file","Files","Wed Nov 05 19:52:41 UTC 2025","passed","Wed Nov 05 19:52:41 UTC 2025","","","",""
"","78","Control what is printed to the Command Log","Cypress APIs","Wed Nov 05 19:52:36 UTC 2025","passed","Wed Nov 05 19:52:36 UTC 2025","","Cypress.log","",""
"","95","expect - make an assertion about a specified subject","Assertions","Wed Nov 05 19:52:12 UTC 2025","passed","Wed Nov 05 19:52:12 UTC 2025","","Explicit Assertions","",""
"","182","cy.hash() - get the current URL hash","Location","Wed Nov 05 19:52:44 UTC 2025","passed","Wed Nov 05 19:52:45 UTC 2025","","","",""
"","90",".within() - query DOM elements within a specific element","Querying","Wed Nov 05 19:53:07 UTC 2025","passed","Wed Nov 05 19:53:07 UTC 2025","","","",""
"","1571","retries the should callback until assertions pass","Assertions","Wed Nov 05 19:52:13 UTC 2025","passed","Wed Nov 05 19:52:15 UTC 2025","","Explicit Assertions","",""
"","90",".prevUntil() - get all previous sibling DOM elements until el","Traversal","Wed Nov 05 19:53:26 UTC 2025","passed","Wed Nov 05 19:53:26 UTC 2025","","","",""
"","93","pass your own callback function to should()","Assertions","Wed Nov 05 19:52:12 UTC 2025","passed","Wed Nov 05 19:52:12 UTC 2025","","Explicit Assertions","",""
"","83",".nextUntil() - get next sibling DOM elements until next el","Traversal","Wed Nov 05 19:53:25 UTC 2025","passed","Wed Nov 05 19:53:26 UTC 2025","","","",""
"","379","cy.wait() - wait for a specific route","Waiting","Wed Nov 05 19:53:47 UTC 2025","passed","Wed Nov 05 19:53:48 UTC 2025","","","",""
"","94",".nextAll() - get all next sibling DOM elements","Traversal","Wed Nov 05 19:53:25 UTC 2025","passed","Wed Nov 05 19:53:25 UTC 2025","","","",""
"","102","Get CPU architecture name of underlying OS","Cypress APIs","Wed Nov 05 19:52:35 UTC 2025","passed","Wed Nov 05 19:52:35 UTC 2025","","Cypress.arch","",""
"","317",".as() - alias a DOM element for later use","Aliasing","Wed Nov 05 19:52:07 UTC 2025","passed","Wed Nov 05 19:52:07 UTC 2025","","","",""
"","310","cy.getCookie() - get a browser cookie","Cookies","Wed Nov 05 19:52:18 UTC 2025","passed","Wed Nov 05 19:52:19 UTC 2025","","","",""
"","164","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","Wed Nov 05 19:53:20 UTC 2025","passed","Wed Nov 05 19:53:20 UTC 2025","","","",""
"","155","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","Wed Nov 05 19:53:20 UTC 2025","passed","Wed Nov 05 19:53:20 UTC 2025","","","",""
"","85","Cypress.minimatch - test out glob patterns against strings","Utilities","Wed Nov 05 19:53:31 UTC 2025","passed","Wed Nov 05 19:53:31 UTC 2025","","","",""
